;;;add;addi;addiw;addw;and;andi;auipc;beqz;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;stall;sub;subw;sw;xor;xori
1a_remuw_300x300,instr,csv;remuw;2554,28;0;169;1;0;0;0;0;0;169;0;0;0;0;0;0;0;0;0;22;5;0;0;0;0;0;0;0;4;0;0;0;0;50911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447708;0;0;0;0;0
1a_remw_300x300,instr,csv;remw;2572,995;0;156;1;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;20;7;0;0;0;0;0;0;0;4;0;0;0;0;0;47092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451553;0;0;0;0;0
1a_sb_300x300,instr,csv;sb;2079,411;0;237;20;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;7;20;0;0;0;0;0;0;0;17;0;0;0;0;0;0;71390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427061;0;0;0;0;0
1a_sh_300x300,instr,csv;sh;2088,344;0;237;19;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;8;19;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;71390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427061;0;0;0;0;0
1a_sll_300x300,instr,csv;sll;2377,354;0;300;6;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_slli_300x300,instr,csv;slli;2514,374;0;300;4;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_slliw_300x300,instr,csv;slliw;2824,801;0;300;7;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_sllw_300x300,instr,csv;sllw;2737,781;0;300;4;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_slt_300x300,instr,csv;slt;2359,188;0;300;3;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1a_slti_300x300,instr,csv;slti;2281,64;0;300;7;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_sltiu_300x300,instr,csv;sltiu;2281,068;0;302;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;3;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_sltu_300x300,instr,csv;sltu;2428,783;0;300;9;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;18;9;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_sra_300x300,instr,csv;sra;2456,249;0;300;7;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;231;0;0;0;0;0
1a_srai_300x300,instr,csv;srai;2309,182;0;300;7;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;231;0;0;0;0;0
1a_sraiw_300x300,instr,csv;sraiw;2484,866;0;301;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;4;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;231;0;0;0;0;0
1a_sraw_300x300,instr,csv;sraw;2392,409;0;300;4;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;215;0;0;0;0;0
1a_srl_300x300,instr,csv;srl;2372,347;0;300;4;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;215;0;0;0;0;0
1a_srli_300x300,instr,csv;srli;2293,768;0;300;6;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;231;0;0;0;0;0
1a_srliw_300x300,instr,csv;srliw;2299,993;0;300;6;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;0;231;0;0;0;0;0
1a_srlw_300x300,instr,csv;srlw;2372,81;0;300;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;215;0;0;0;0;0
1a_sub_300x300,instr,csv;sub;2900,222;0;300;6;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;90000;0;0;0;0
1a_subw_300x300,instr,csv;subw;2902,702;0;300;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;90000;0;0;0
