;;;add;addi;addiw;addw;and;andi;bnez;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;seqz;sext,w;sll;slli;sllw;slt;slti;sltiu;sltu;sra;sraw;srl;srlw;stall;sub;subw;xor;xori
2a_ipc37_300x300,instr,csv;ipc37;2530,483;300;2100;3303;1200;1200;2400;300;1;4800;5100;7200;7800;24;3;6300;5700;5700;6600;5400;6600;0;2;900;2400;0;0;1500;0;900;900;1200;1500;0;1200;1200;300;1500;325923;600;1500;1200;1800
2a_ipc38_300x300,instr,csv;ipc38;1690,012;0;0;7;0;0;0;0;0;0;1;0;0;20;7;1;1;0;2;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498920;0;0;0;0
2a_ipc39_300x300,instr,csv;ipc39;1690,073;0;1;6;0;1;0;0;0;0;3;1;3;21;6;3;0;1;0;3;2;0;31;0;2;0;0;0;0;0;1;2;0;0;0;1;0;0;498900;0;0;0;1
2a_ipc40_300x300,instr,csv;ipc40;1689,993;0;0;3;1;1;0;0;0;0;3;0;1;24;3;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;498947;0;0;0;0
2a_ipc41_300x300,instr,csv;ipc41;2581,728;900;2700;1503;900;1200;3600;300;1;6900;6900;5700;4800;24;3;6900;6000;4800;4200;5700;3900;0;2;600;2100;0;0;300;0;900;1500;3000;1500;1500;600;600;2700;1500;282135;1800;1200;1200;2700
2a_ipc42_300x300,instr,csv;ipc42;1690,093;1;0;10;1;1;0;0;0;1;3;2;0;18;9;2;2;0;2;4;2;0;28;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;498895;1;1;0;2
2a_ipc43_300x300,instr,csv;ipc43;2553,269;600;3000;1203;1200;1200;4200;300;1;4500;6600;5100;7200;24;3;6300;5100;3900;4200;5700;4800;0;2;2700;4200;0;0;900;0;1200;1800;1200;2700;300;900;1500;900;1500;257756;900;300;900;3600
2a_ipc44_300x300,instr,csv;ipc44;2593,887;900;3600;2403;1500;2700;2100;300;1;5400;6300;4200;4500;24;3;4200;6300;4800;3300;4500;6600;0;2;1500;3300;0;0;900;0;1800;1800;2100;3900;600;900;2100;900;1800;250025;1200;900;1800;1500
2a_ipc45_300x300,instr,csv;ipc45;1689,99;0;1;4;0;0;0;0;0;0;0;1;0;24;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;498948;0;0;0;0
2a_ipc46_300x300,instr,csv;ipc46;1690,058;1;4;5;0;0;0;0;0;1;1;1;1;22;5;0;3;0;1;1;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;1;0;498934;0;0;1;0
2a_ipc47_300x300,instr,csv;ipc47;1690,0;0;1;3;0;0;0;0;0;0;0;1;2;24;3;0;0;0;0;1;1;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;498947;1;0;0;0
2a_ipc48_300x300,instr,csv;ipc48;1690,084;0;2;7;0;0;1;0;0;2;1;2;1;25;2;3;3;3;1;0;2;0;3;0;4;0;0;1;0;0;2;3;3;0;1;0;0;2;498912;0;1;1;1
2a_ipc49_300x300,instr,csv;ipc49;1690,046;0;2;7;0;1;0;0;0;2;0;0;1;21;6;1;1;2;1;2;1;0;31;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;498908;0;0;0;0
2a_ipc50_300x300,instr,csv;ipc50;1690,016;0;0;4;0;0;1;0;0;1;0;0;2;23;4;0;1;0;1;0;2;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;498946;0;0;0;0
2a_ipc51_300x300,instr,csv;ipc51;2746,47;1500;2700;1503;1200;3000;3900;300;1;3900;2100;3900;4200;24;3;4200;4500;4200;3900;6900;4200;300;2;2100;4200;0;0;1800;0;1200;0;4200;2700;2400;1200;2400;1500;1500;231720;1800;300;3000;3900
2a_ipc52_300x300,instr,csv;ipc52;1690,019;0;0;8;0;1;1;0;0;0;0;3;0;20;7;1;0;0;1;1;0;0;30;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;498913;0;0;0;0
2a_ipc53_300x300,instr,csv;ipc53;1690,038;0;1;8;0;0;3;0;0;1;0;1;0;21;6;1;0;0;0;2;1;0;31;1;2;0;0;1;0;1;0;0;0;1;2;0;0;0;498903;1;0;0;1
2a_ipc54_300x300,instr,csv;ipc54;1690,07;1;0;5;0;1;5;0;0;1;2;2;1;22;5;0;2;1;2;0;2;0;0;0;0;0;0;2;0;1;0;1;2;0;1;0;2;0;498924;0;1;1;2
