Full Name;Name;Power;stall;add;addi;addiw;addw;and;andi;auipc;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori
1b_addiw_300x300;addiw_300x300;5265,127;215;0;300;90002;0;0;0;0;300;0;0;0;0;1;0;0;0;0;25;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_addw_300x300;addw_300x300;5199,541;215;0;300;5;90000;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_and_300x300;and_300x300;5319,893;231;0;301;9;0;90000;0;0;300;0;0;0;0;1;0;0;0;0;18;8;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_andi_300x300;andi_300x300;4962,454;215;0;300;4;0;0;90000;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_auipc_300x300;auipc_300x300;5404,856;231;0;300;7;0;0;0;90000;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_div_300x300;div_300x300;4681,459;227765;0;73;1;0;0;0;0;73;22020;0;0;0;0;0;0;0;0;22;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_divu_300x300;divu_300x300;4681,465;226165;0;78;1;0;0;0;0;78;0;23610;0;0;0;0;0;0;0;21;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_divuw_300x300;divuw_300x300;4685,296;225992;0;79;1;0;0;0;0;79;0;0;23781;0;0;0;0;0;0;21;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_divw_300x300;divw_300x300;4681,458;232382;0;58;1;0;0;0;0;58;0;0;0;17433;0;0;0;0;0;20;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_lb_300x300;lb_300x300;4681,601;249888;0;0;6;0;0;0;0;0;0;0;0;0;0;11;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_lbu_300x300;lbu_300x300;4681,53;249896;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_lh_300x300;lh_300x300;4750,82;249931;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_lhu_300x300;lhu_300x300;4750,85;249899;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_li_300x300;li_300x300;4979,302;231;0;301;7;0;0;0;0;300;0;0;0;0;1;0;0;0;0;90020;6;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_lui_300x300;lui_300x300;5349,125;215;0;300;5;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;90005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_lw_300x300;lw_300x300;4750,86;249899;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_mul_300x300;mul_300x300;5575,634;208294;0;137;4;0;0;0;0;137;0;0;0;0;0;0;0;0;0;23;4;0;41363;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
